,ene_y1,ene_y3
0,22500.285805323136,21373.667691464903
1,24154.20638299957,20610.368446883767
2,23286.829091400905,23740.955558119105
3,23525.363104196585,22183.800634402178
4,21396.74943084194,22835.017099641955
5,22183.231608201273,20960.22452812883
6,21927.07773720305,21545.51495050941
7,24808.562649118045,23265.99826719733
8,23678.68560279528,24192.17399381591
9,23329.857043097916,23123.890185055767
10,22390.668987046087,22014.186845131906
11,24415.14701403843,19979.161456725386
12,24057.921206329785,22096.700892615972
13,21505.605611800882,23889.31382759842
14,23418.830342799498,21508.86022887018
15,23110.121009533534,21934.68102049816
16,24069.048720402156,22852.33455240001
17,24869.18573162237,25187.18224803996
18,25371.26809249936,23836.32028550002
19,21373.442903645497,23338.75986841014
20,21930.05581550418,20600.603595226665
21,23402.57167695451,21560.387027224977
22,23717.706386271344,23830.790538655892
23,21851.802152496857,22862.05291639732
24,23593.9212143192,22669.130733148726
25,26532.644181095544,20100.367440806815
26,23642.347854102045,22655.491532501503
27,22129.41112569707,24093.46217426942
28,23497.546755499407,23960.36322715049
29,22304.339592281194,21516.367971153002
30,24319.15509391836,21876.785301600878
31,25045.72500123456,24990.87956609976
32,25706.366927802796,24201.749304511075
33,23618.435152039092,20766.697601599455
34,22625.752293797843,21454.85872679401
35,24535.099666381655,22403.4280360706
36,23069.952827577526,17924.990462397414
37,25068.794869900248,22877.90704227199
38,22067.863710401947,23386.14936540657
39,23073.717936730864,26305.424346119755
40,22118.985589902426,24761.699377596487
41,23410.59983820077,22600.51243919549
42,24171.421805340062,22476.265086879313
43,23404.623831293815,22936.93790380168
44,34016.89673970385,19288.886078002164
45,22851.183634299483,22769.510449466186
46,23829.354177900324,23607.413422499692
47,24109.08294222206,21647.41441205079
48,25817.733220396716,20056.377700799698
49,21264.319289999075,25363.27617309752
50,21279.196467604612,24243.73256439678
51,22917.4383703018,23252.19471401894
52,24102.821791220034,23856.175390597044
53,21926.386218701107,22234.760564961467
54,22911.760825663612,19649.442461665578
55,23120.521738904416,21972.908627241562
56,25099.3565898969,23787.481370967773
57,23540.067158100075,22806.622295597997
58,24082.448222800303,22745.126470571166
59,23844.10397869947,23177.472215663325
60,24510.449138802473,21496.887562954507
61,24037.78517460308,23414.44684789651
62,20014.86657009995,21203.51199019835
63,22990.210412399203,22216.244880847917
64,25063.650339002448,22361.538615802823
65,24273.386446694636,22857.256483576668
66,23517.160662047554,23424.72316563586
67,22964.949900001873,22189.870542961733
68,23571.451220497805,24794.04642609916
69,24690.55387821162,24050.440053660262
70,24188.61204119821,22475.932897159848
71,21018.351344901203,23638.18676279637
72,21759.33595020295,22901.700508398495
73,21091.886664483398,25945.840733438283
74,23212.411191398565,24241.73577574345
75,26906.15668000235,22808.358418856616
76,22962.76077110131,22371.95750442075
77,23172.363865798387,20907.054659094196
78,24250.147611692744,23503.51834027719
79,23905.21897997915,23310.8046224426
80,23111.1652867045,20676.537121776986
81,22192.0419589951,24036.151359497144
82,23866.36638335858,23653.969015358736
83,25078.37272669678,22271.710682502442
